team_country,n,iso3c
Bangladesh,2,BGD
Belgium,4,BEL
Benin,1,BEN
Bosnia Herzegovina,1,BIH
Brazil,1,BRA
Canada,2,CAN
Chile,1,CHL
China,6,CHN
Cyprus,1,CYP
Denmark,3,DNK
Egypt,4,EGY
Finland,1,FIN
France,13,FRA
Germany,12,DEU
Ghana,2,GHA
India,12,IND
Indonesia,3,IDN
Iran,1,IRN
Ireland,2,IRL
Israel,1,ISR
Italy,1,ITA
Japan,2,JPN
Kenya,1,KEN
Korea South,2,KOR
Malaysia,1,MYS
Morocco,4,MAR
Netherlands,5,NLD
Norway,1,NOR
Poland,4,POL
Romania,1,ROU
Singapore,1,SGP
Slovenia,1,SVN
Spain,9,ESP
Sri Lanka,1,LKA
Sweden,1,SWE
Switzerland,3,CHE
Tanzania,1,TZA
Tunisia,1,TUN
Turkey,6,TUR
United Arab Emirates,1,ARE
United Kingdom,6,GBR
United States,23,USA
Vietnam,1,VNM
